求人番号,求人タイトル,勤務先名,勤務地,雇用形態,キャンペーン名,ステータス,表示回数,クリック数,クリック率,平均クリック単価,費用,応募数,アクション数,応募率,応募単価
6740-8120-8653,飲料のルート営業/20代活躍中/週休2日・社割や各種手当などの福利厚生充実/CS8,非公開,兵庫県,正社員,salBB,公開中,2,0,0.0%,￥0,￥0,0,0,0.0%,￥0
6740-8120-8655,飲料のルート営業/20代活躍中/週休2日・社割や各種手当などの福利厚生充実/CS8,非公開,京都府,正社員,salBB,公開中,4,0,0.0%,￥0,￥0,0,0,0.0%,￥0
6740-8120-8656,飲料のルート営業/20代活躍中/週休2日・社割や各種手当などの福利厚生充実/CS8,非公開,京都府,正社員,salBB,公開中,7,0,0.0%,￥0,￥0,0,0,0.0%,￥0
6740-8120-8660,飲料のルート営業/20代活躍中/週休2日・社割や各種手当などの福利厚生充実/CS8,非公開,宮城県,正社員,salBB,公開中,1,0,0.0%,￥0,￥0,0,0,0.0%,￥0
6740-8120-8661,飲料のルート営業/20代活躍中/週休2日・社割や各種手当などの福利厚生充実/CS8,非公開,宮城県,正社員,salBB,公開中,18,0,0.0%,￥0,￥0,0,0,0.0%,￥0
6740-8120-8663,飲料のルート営業/20代活躍中/週休2日・社割や各種手当などの福利厚生充実/CS8,非公開,埼玉県,正社員,salAB,公開中,0,0,0.0%,￥0,￥0,0,0,0.0%,￥0
6740-8120-8665,飲料のルート営業/20代活躍中/週休2日・社割や各種手当などの福利厚生充実/CS8,非公開,埼玉県,正社員,salAB,公開中,9,0,0.0%,￥0,￥0,0,0,0.0%,￥0
6740-8120-8666,飲料のルート営業/20代活躍中/週休2日・社割や各種手当などの福利厚生充実/CS8,非公開,埼玉県,正社員,salAB,公開中,17,0,0.0%,￥0,￥0,0,0,0.0%,￥0
6740-8120-8668,飲料のルート営業/20代活躍中/週休2日・社割や各種手当などの福利厚生充実/CS8,非公開,千葉県,正社員,salAB,公開中,0,0,0.0%,￥0,￥0,0,0,0.0%,￥0
6740-8120-8669,飲料のルート営業/20代活躍中/週休2日・社割や各種手当などの福利厚生充実/CS8,非公開,千葉県,正社員,salAB,公開中,13,1,7.7%,￥25,￥25,0,0,0.0%,￥0
6740-8120-8671,飲料のルート営業/20代活躍中/週休2日・社割や各種手当などの福利厚生充実/CS8,非公開,神奈川県,正社員,salAB,公開中,4,1,25.0%,￥25,￥25,0,0,0.0%,￥0
6740-8120-8672,飲料のルート営業/20代活躍中/週休2日・社割や各種手当などの福利厚生充実/CS8,非公開,神奈川県,正社員,salAB,公開中,4,0,0.0%,￥0,￥0,0,0,0.0%,￥0
6740-8120-8673,飲料のルート営業/20代活躍中/週休2日・社割や各種手当などの福利厚生充実/CS8,非公開,神奈川県,正社員,salAB,公開中,0,0,0.0%,￥0,￥0,0,0,0.0%,￥0
6740-8120-8674,飲料のルート営業/20代活躍中/週休2日・社割や各種手当などの福利厚生充実/CS8,非公開,神奈川県,正社員,salAB,公開中,7,0,0.0%,￥0,￥0,0,0,0.0%,￥0
6740-8120-8675,飲料のルート営業/20代活躍中/週休2日・社割や各種手当などの福利厚生充実/CS8,非公開,東京都,正社員,salAB,公開中,1,0,0.0%,￥0,￥0,0,0,0.0%,￥0
6740-8120-8677,飲料のルート営業/20代活躍中/週休2日・社割や各種手当などの福利厚生充実/CS8,非公開,東京都,正社員,salAB,公開中,0,0,0.0%,￥0,￥0,0,0,0.0%,￥0
6740-8120-8678,飲料のルート営業/20代活躍中/週休2日・社割や各種手当などの福利厚生充実/CS8,非公開,東京都,正社員,salAB,公開中,0,0,0.0%,￥0,￥0,0,0,0.0%,￥0
6740-8120-8682,飲料のルート営業/20代活躍中/週休2日・社割や各種手当などの福利厚生充実/CS8,非公開,福岡県,正社員,salBB,公開中,22,0,0.0%,￥0,￥0,0,0,0.0%,￥0
