求人番号,求人タイトル,勤務先名,勤務地,雇用形態,キャンペーン名,ステータス,表示回数,クリック数,クリック率,平均クリック単価,費用,応募数,アクション数,応募率,応募単価
1733-0292-0016,20代活躍中/未経験可/手に職付けられる/CAD事務職～引っ越し費用負担,非公開,福島県,正社員,boCB,公開中,83,6,7.2%,￥25,￥150,0,0,0.0%,￥0
1733-0292-0022,20代活躍中/未経験可/手に職付けられる/CAD事務職～引っ越し費用負担,非公開,群馬県,正社員,boCB,公開中,29,3,10.3%,￥25,￥75,0,1,0.0%,￥0
1733-0292-0025,20代活躍中/未経験可/施工管理職～引っ越し費用全額負担,非公開,千葉県,正社員,constBB,公開中,0,0,0.0%,￥0,￥0,0,0,0.0%,￥0
1733-0292-0029,20代活躍中/未経験可/施工管理職～引っ越し費用全額負担,非公開,神奈川県,正社員,constBB,公開中,1,0,0.0%,￥0,￥0,0,0,0.0%,￥0
1733-0292-0034,20代活躍中/未経験可/手に職付けられる/CAD事務職～引っ越し費用負担,非公開,富山県,正社員,boCB,公開中,32,2,6.3%,￥25,￥50,0,0,0.0%,￥0
1733-0292-0042,20代活躍中/未経験可/手に職付けられる/CAD事務職～引っ越し費用負担,非公開,長野県,正社員,boCB,公開中,50,4,8.0%,￥25,￥100,0,0,0.0%,￥0
1733-0292-0049,20代活躍中/未経験可/施工管理職～引っ越し費用全額負担,非公開,三重県,正社員,constBB,公開中,8,0,0.0%,￥0,￥0,0,0,0.0%,￥0
1733-0292-0054,20代活躍中/未経験可/手に職付けられる/CAD事務職～引っ越し費用負担,株式会社PARTAGE,京都府,正社員,事務系fd求人,公開中,3,0,0.0%,￥0,￥0,0,0,0.0%,￥0
1733-0292-0056,20代活躍中/未経験可/手に職付けられる/CAD事務職～引っ越し費用負担,非公開,大阪府,正社員,事務系fd求人,公開中,12,1,8.3%,￥25,￥25,0,0,0.0%,￥0
1733-0292-0087,20代活躍中/未経験可/施工管理職～引っ越し費用全額負担,非公開,熊本県,正社員,constBB,公開中,25,1,4.0%,￥25,￥25,0,0,0.0%,￥0
1733-0292-0094,20代活躍中/未経験可/手に職付けられる/CAD事務職～引っ越し費用負担,非公開,鹿児島県,正社員,boCB,公開中,89,3,3.4%,￥25,￥75,0,1,0.0%,￥0
1733-0292-0235,20代活躍中/海外留学アドバイザー,非公開,"東京都,東京都,東京都,東京都,埼玉県,千葉県,神奈川県,大阪府,大阪府,愛知県",正社員,事務系fd求人,公開中,74,10,13.5%,￥25,￥250,2,3,20.0%,￥125
