求人番号,求人タイトル,勤務先名,勤務地,雇用形態,キャンペーン名,ステータス,表示回数,クリック数,クリック率,平均クリック単価,費用,応募数,アクション数,応募率,応募単価
8008-2645-0143,駅チカ徒歩5分　20代活躍中/未経験可/ブランドピアス/オンラインショップ～内勤営業事務（Swarovskiなど人気ブランド取り扱い）,非公開,東京都,正社員,boAB,公開中,2,0,0.0%,￥0,￥0,0,0,0.0%,￥0
8008-2645-0144,駅チカ徒歩5分　20代活躍中/未経験可/ブランドピアス/オンラインショップ～内勤営業事務（Swarovskiなど人気ブランド取り扱い）,非公開,東京都,正社員,boAB,公開中,6,1,16.7%,￥25,￥25,0,0,0.0%,￥0
8008-2645-0147,駅チカ徒歩5分　20代活躍中/未経験可/ブランドピアス/オンラインショップ～内勤営業事務（Swarovskiなど人気ブランド取り扱い）,非公開,大阪府,正社員,boAB,公開中,4,0,0.0%,￥0,￥0,0,0,0.0%,￥0
8008-2645-0150,駅チカ徒歩5分　20代活躍中/未経験可/ブランドピアス/オンラインショップ～内勤営業事務（Swarovskiなど人気ブランド取り扱い）,非公開,大阪府,正社員,boAB,公開中,3,0,0.0%,￥0,￥0,0,0,0.0%,￥0
8008-2645-0153,駅チカ徒歩5分　20代活躍中/未経験可/ブランドピアス/オンラインショップ～内勤営業事務（Swarovskiなど人気ブランド取り扱い）,非公開,愛知県,正社員,boAB,公開中,4,1,25.0%,￥25,￥25,0,0,0.0%,￥0
8008-2645-0161,駅チカ徒歩5分　20代活躍中/未経験可/ブランドピアス/オンラインショップ～内勤営業事務（アガットなど人気ブランド取り扱い）,非公開,埼玉県,正社員,boAB,公開中,1,0,0.0%,￥0,￥0,0,0,0.0%,￥0
8008-2645-0172,駅チカ徒歩5分　20代活躍中/未経験可/ブランドピアス/オンラインショップ～内勤営業事務（アガットなど人気ブランド取り扱い）,非公開,福岡県,正社員,boAB,公開中,2,0,0.0%,￥0,￥0,0,0,0.0%,￥0
8008-2645-0175,駅チカ徒歩5分　20代活躍中/未経験可/ブランドピアス/オンラインショップ～内勤営業事務（アガットなど人気ブランド取り扱い）,非公開,大阪府,正社員,boAB,公開中,1,0,0.0%,￥0,￥0,0,0,0.0%,￥0
8008-2645-0184,駅チカ徒歩5分　20代活躍中/未経験可/ブランドピアス/オンラインショップ～内勤営業事務（スタージュエリーなど人気ブランド取り扱い）,非公開,埼玉県,正社員,boAB,公開中,0,0,0.0%,￥0,￥0,0,0,0.0%,￥0
8008-2645-0191,駅チカ徒歩5分　20代活躍中/未経験可/ブランドピアス/オンラインショップ～内勤営業事務（スタージュエリーなど人気ブランド取り扱い）,非公開,神奈川県,正社員,boAB,公開中,1,0,0.0%,￥0,￥0,0,0,0.0%,￥0
8008-2645-0192,駅チカ徒歩5分　20代活躍中/未経験可/ブランドピアス/オンラインショップ～内勤営業事務（スタージュエリーなど人気ブランド取り扱い）,非公開,神奈川県,正社員,boAB,公開中,1,0,0.0%,￥0,￥0,0,0,0.0%,￥0
8008-2645-0194,駅チカ徒歩5分　20代活躍中/未経験可/ブランドピアス/オンラインショップ～内勤営業事務（スタージュエリーなど人気ブランド取り扱い）,非公開,神奈川県,正社員,boAB,公開中,0,0,0.0%,￥0,￥0,0,0,0.0%,￥0
8008-2645-0195,駅チカ徒歩5分　20代活躍中/未経験可/ブランドピアス/オンラインショップ～内勤営業事務（スタージュエリーなど人気ブランド取り扱い）,非公開,東京都,正社員,boAB,公開中,2,0,0.0%,￥0,￥0,0,0,0.0%,￥0
8008-2645-0203,駅チカ徒歩5分　20代活躍中/未経験可/ブランドピアス/オンラインショップ～内勤営業事務（スタージュエリーなど人気ブランド取り扱い）,非公開,大阪府,正社員,boAB,公開中,4,0,0.0%,￥0,￥0,0,0,0.0%,￥0
8008-2645-0204,駅チカ徒歩5分　20代活躍中/未経験可/ブランドピアス/オンラインショップ～内勤営業事務（スタージュエリーなど人気ブランド取り扱い）,非公開,大阪府,正社員,boAB,公開中,5,0,0.0%,￥0,￥0,0,0,0.0%,￥0
8008-2645-0209,"20代活躍中/未経験可/飲食店向け 卓上シーシャのルート営業～年収450万円以上",非公開,埼玉県,正社員,salAB,公開中,1,0,0.0%,￥0,￥0,0,0,0.0%,￥0
8008-2645-0217,"20代活躍中/未経験可/飲食店向け 卓上シーシャのルート営業～年収450万円以上",非公開,神奈川県,正社員,salAB,公開中,8,1,12.5%,￥25,￥25,0,0,0.0%,￥0
8008-2645-0222,"20代活躍中/未経験可/飲食店向け 卓上シーシャのルート営業～年収450万円以上",非公開,東京都,正社員,salAB,公開中,21,1,4.8%,￥25,￥25,0,0,0.0%,￥0
8008-2645-0223,"20代活躍中/未経験可/飲食店向け 卓上シーシャのルート営業～年収450万円以上",非公開,福岡県,正社員,salAB,公開中,0,0,0.0%,￥0,￥0,0,0,0.0%,￥0
8008-2645-0225,"20代活躍中/未経験可/飲食店向け 卓上シーシャのルート営業～年収450万円以上",非公開,大阪府,正社員,salAB,公開中,4,0,0.0%,￥0,￥0,0,0,0.0%,￥0
8008-2645-0231,"20代活躍中/未経験可/飲食店向け 卓上シーシャのルート営業～年収450万円以上",非公開,愛知県,正社員,salAB,公開中,0,0,0.0%,￥0,￥0,0,0,0.0%,￥0
8008-2645-0233,"20代活躍中/未経験可/飲食店向け 卓上シーシャのルート営業～年収450万円以上",非公開,愛知県,正社員,salAB,公開中,4,0,0.0%,￥0,￥0,0,0,0.0%,￥0
8008-2645-0234,"20代活躍中/未経験可/飲食店向け 卓上シーシャのルート営業～年収450万円以上",非公開,愛知県,正社員,salAB,公開中,1,0,0.0%,￥0,￥0,0,0,0.0%,￥0
8008-2645-0264,"20代活躍中/未経験可/飲食店向け シーシャフレーバーの新規営業～賞与年4回",非公開,埼玉県,正社員,salAB,公開中,3,2,66.7%,￥25,￥50,0,0,0.0%,￥0
8008-2645-0265,"20代活躍中/未経験可/飲食店向け シーシャフレーバーの新規営業～賞与年4回",非公開,埼玉県,正社員,salAB,公開中,5,0,0.0%,￥0,￥0,0,0,0.0%,￥0
8008-2645-0270,"20代活躍中/未経験可/飲食店向け シーシャフレーバーの新規営業～賞与年4回",非公開,神奈川県,正社員,salAB,公開中,2,0,0.0%,￥0,￥0,0,0,0.0%,￥0
8008-2645-0284,"20代活躍中/未経験可/飲食店向け シーシャフレーバーの新規営業～賞与年4回",非公開,愛知県,正社員,salAB,公開中,1,0,0.0%,￥0,￥0,0,0,0.0%,￥0
8008-2645-0285,"20代活躍中/未経験可/飲食店向け シーシャフレーバーの新規営業～賞与年4回",非公開,愛知県,正社員,salAB,公開中,3,0,0.0%,￥0,￥0,0,0,0.0%,￥0
8008-2645-0286,"20代活躍中/未経験可/飲食店向け シーシャフレーバーの新規営業～賞与年4回",非公開,愛知県,正社員,salAB,公開中,0,0,0.0%,￥0,￥0,0,0,0.0%,￥0
8008-2645-0291,20代活躍中/未経験可/香水の代理店向け販促営業～月平均残業10H以下（CHLOEなど人気ブランド取り扱い）,非公開,埼玉県,正社員,salAB,公開中,3,0,0.0%,￥0,￥0,0,0,0.0%,￥0
8008-2645-0292,20代活躍中/未経験可/香水の代理店向け販促営業～月平均残業10H以下（CHLOEなど人気ブランド取り扱い）,非公開,千葉県,正社員,salAB,公開中,0,0,0.0%,￥0,￥0,0,0,0.0%,￥0
8008-2645-0299,20代活躍中/未経験可/香水の代理店向け販促営業～月平均残業10H以下（CHLOEなど人気ブランド取り扱い）,非公開,東京都,正社員,salAB,公開中,0,0,0.0%,￥0,￥0,0,0,0.0%,￥0
8008-2645-0300,20代活躍中/未経験可/香水の代理店向け販促営業～月平均残業10H以下（CHLOEなど人気ブランド取り扱い）,非公開,東京都,正社員,salAB,公開中,2,0,0.0%,￥0,￥0,0,0,0.0%,￥0
8008-2645-0304,20代活躍中/未経験可/香水の代理店向け販促営業～月平均残業10H以下（CHLOEなど人気ブランド取り扱い）,非公開,大阪府,正社員,salAB,公開中,1,0,0.0%,￥0,￥0,0,0,0.0%,￥0
8008-2645-0311,20代活躍中/未経験可/香水の代理店向け販促営業～月平均残業10H以下（CHLOEなど人気ブランド取り扱い）,非公開,愛知県,正社員,salAB,公開中,0,0,0.0%,￥0,￥0,0,0,0.0%,￥0
8008-2645-0314,20代活躍中/未経験可/香水の代理店向け販促営業～月平均残業10H以下（LANVINなど人気ブランド取り扱い）,非公開,埼玉県,正社員,salAB,公開中,0,0,0.0%,￥0,￥0,0,0,0.0%,￥0
8008-2645-0323,20代活躍中/未経験可/香水の代理店向け販促営業～月平均残業10H以下（LANVINなど人気ブランド取り扱い）,非公開,神奈川県,正社員,salAB,公開中,1,0,0.0%,￥0,￥0,0,0,0.0%,￥0
8008-2645-0325,20代活躍中/未経験可/香水の代理店向け販促営業～月平均残業10H以下（LANVINなど人気ブランド取り扱い）,非公開,東京都,正社員,salAB,公開中,0,0,0.0%,￥0,￥0,0,0,0.0%,￥0
8008-2645-0326,20代活躍中/未経験可/香水の代理店向け販促営業～月平均残業10H以下（LANVINなど人気ブランド取り扱い）,非公開,東京都,正社員,salAB,公開中,4,0,0.0%,￥0,￥0,0,0,0.0%,￥0
8008-2645-0330,20代活躍中/未経験可/香水の代理店向け販促営業～月平均残業10H以下（LANVINなど人気ブランド取り扱い）,非公開,大阪府,正社員,salAB,公開中,0,0,0.0%,￥0,￥0,0,0,0.0%,￥0
8008-2645-0338,20代活躍中/未経験可/香水の代理店向け販促営業～月平均残業10H以下（LANVINなど人気ブランド取り扱い）,非公開,愛知県,正社員,salAB,公開中,0,0,0.0%,￥0,￥0,0,0,0.0%,￥0
8008-2645-0345,20代活躍中/未経験可/香水の代理店向け販促営業～月平均残業10H以下（Diorなど人気ブランド取り扱い）,非公開,千葉県,正社員,salAB,公開中,2,0,0.0%,￥0,￥0,0,0,0.0%,￥0
8008-2645-0346,20代活躍中/未経験可/香水の代理店向け販促営業～月平均残業10H以下（Diorなど人気ブランド取り扱い）,非公開,神奈川県,正社員,salAB,公開中,1,0,0.0%,￥0,￥0,0,0,0.0%,￥0
8008-2645-0352,20代活躍中/未経験可/香水の代理店向け販促営業～月平均残業10H以下（Diorなど人気ブランド取り扱い）,非公開,東京都,正社員,salAB,公開中,4,0,0.0%,￥0,￥0,0,0,0.0%,￥0
8008-2645-0356,20代活躍中/未経験可/香水の代理店向け販促営業～月平均残業10H以下（Diorなど人気ブランド取り扱い）,非公開,大阪府,正社員,salAB,公開中,0,0,0.0%,￥0,￥0,0,0,0.0%,￥0
8008-2645-0357,20代活躍中/未経験可/香水の代理店向け販促営業～月平均残業10H以下（Diorなど人気ブランド取り扱い）,非公開,大阪府,正社員,salAB,公開中,0,0,0.0%,￥0,￥0,0,0,0.0%,￥0
8008-2645-0360,20代活躍中/未経験可/香水の代理店向け販促営業～月平均残業10H以下（Diorなど人気ブランド取り扱い）,非公開,大阪府,正社員,salAB,公開中,0,0,0.0%,￥0,￥0,0,0,0.0%,￥0
8008-2645-0369,20代活躍中/未経験可/香水の代理店向け販促営業～月平均残業10H以下（BVLGARIなど人気ブランド取り扱い）,非公開,埼玉県,正社員,salAB,公開中,1,0,0.0%,￥0,￥0,0,0,0.0%,￥0
8008-2645-0382,20代活躍中/未経験可/香水の代理店向け販促営業～月平均残業10H以下（BVLGARIなど人気ブランド取り扱い）,非公開,大阪府,正社員,salAB,公開中,1,0,0.0%,￥0,￥0,0,0,0.0%,￥0
8008-2645-0387,20代活躍中/未経験可/香水の代理店向け販促営業～月平均残業10H以下（BVLGARIなど人気ブランド取り扱い）,非公開,愛知県,正社員,salAB,公開中,1,0,0.0%,￥0,￥0,0,0,0.0%,￥0
8008-2645-0391,20代活躍中/未経験可/香水の代理店向け販促営業～月平均残業10H以下（CHANELなど人気ブランド取り扱い）,非公開,埼玉県,正社員,salAB,公開中,1,0,0.0%,￥0,￥0,0,0,0.0%,￥0
8008-2645-0393,20代活躍中/未経験可/香水の代理店向け販促営業～月平均残業10H以下（CHANELなど人気ブランド取り扱い）,非公開,埼玉県,正社員,salAB,公開中,7,0,0.0%,￥0,￥0,0,0,0.0%,￥0
8008-2645-0398,20代活躍中/未経験可/香水の代理店向け販促営業～月平均残業10H以下（CHANELなど人気ブランド取り扱い）,非公開,神奈川県,正社員,salAB,公開中,1,0,0.0%,￥0,￥0,0,0,0.0%,￥0
8008-2645-0400,20代活躍中/未経験可/香水の代理店向け販促営業～月平均残業10H以下（CHANELなど人気ブランド取り扱い）,非公開,神奈川県,正社員,salAB,公開中,5,0,0.0%,￥0,￥0,0,0,0.0%,￥0
8008-2645-0402,20代活躍中/未経験可/香水の代理店向け販促営業～月平均残業10H以下（CHANELなど人気ブランド取り扱い）,非公開,神奈川県,正社員,salAB,公開中,1,0,0.0%,￥0,￥0,0,0,0.0%,￥0
8008-2645-0403,20代活躍中/未経験可/香水の代理店向け販促営業～月平均残業10H以下（CHANELなど人気ブランド取り扱い）,非公開,神奈川県,正社員,salAB,公開中,5,0,0.0%,￥0,￥0,0,0,0.0%,￥0
8008-2645-0404,20代活躍中/未経験可/香水の代理店向け販促営業～月平均残業10H以下（CHANELなど人気ブランド取り扱い）,非公開,神奈川県,正社員,salAB,公開中,6,0,0.0%,￥0,￥0,0,0,0.0%,￥0
8008-2645-0405,20代活躍中/未経験可/香水の代理店向け販促営業～月平均残業10H以下（CHANELなど人気ブランド取り扱い）,非公開,福岡県,正社員,salAB,公開中,3,0,0.0%,￥0,￥0,0,0,0.0%,￥0
8008-2645-0406,20代活躍中/未経験可/香水の代理店向け販促営業～月平均残業10H以下（CHANELなど人気ブランド取り扱い）,非公開,福岡県,正社員,salAB,公開中,6,0,0.0%,￥0,￥0,0,0,0.0%,￥0
8008-2645-0407,20代活躍中/未経験可/香水の代理店向け販促営業～月平均残業10H以下（CHANELなど人気ブランド取り扱い）,非公開,大阪府,正社員,salAB,公開中,10,2,20.0%,￥25,￥50,0,0,0.0%,￥0
8008-2645-0408,20代活躍中/未経験可/香水の代理店向け販促営業～月平均残業10H以下（CHANELなど人気ブランド取り扱い）,非公開,大阪府,正社員,salAB,公開中,2,0,0.0%,￥0,￥0,0,0,0.0%,￥0
8008-2645-0409,20代活躍中/未経験可/香水の代理店向け販促営業～月平均残業10H以下（CHANELなど人気ブランド取り扱い）,非公開,大阪府,正社員,salAB,公開中,6,0,0.0%,￥0,￥0,0,0,0.0%,￥0
8008-2645-0410,20代活躍中/未経験可/香水の代理店向け販促営業～月平均残業10H以下（CHANELなど人気ブランド取り扱い）,非公開,大阪府,正社員,salAB,公開中,2,0,0.0%,￥0,￥0,0,0,0.0%,￥0
8008-2645-0411,20代活躍中/未経験可/香水の代理店向け販促営業～月平均残業10H以下（CHANELなど人気ブランド取り扱い）,非公開,大阪府,正社員,salAB,公開中,7,0,0.0%,￥0,￥0,0,0,0.0%,￥0
8008-2645-0413,20代活躍中/未経験可/香水の代理店向け販促営業～月平均残業10H以下（CHANELなど人気ブランド取り扱い）,非公開,愛知県,正社員,salAB,公開中,6,0,0.0%,￥0,￥0,0,0,0.0%,￥0
8008-2645-0415,20代活躍中/未経験可/香水の代理店向け販促営業～月平均残業10H以下（CHANELなど人気ブランド取り扱い）,非公開,愛知県,正社員,salAB,公開中,4,0,0.0%,￥0,￥0,0,0,0.0%,￥0
8008-2645-0416,20代活躍中/未経験可/香水の代理店向け販促営業～月平均残業10H以下（CHANELなど人気ブランド取り扱い）,非公開,愛知県,正社員,salAB,公開中,5,0,0.0%,￥0,￥0,0,0,0.0%,￥0
8008-2645-0438,"20代活躍中/未経験可/香水の代理店向け販促営業～月平均残業10H以下（JILL STUARTなど人気ブランド取り扱い）",非公開,大阪府,正社員,salAB,公開中,0,0,0.0%,￥0,￥0,0,0,0.0%,￥0
8008-2645-0446,"20代活躍中/未経験可/香水の代理店向け販促営業～月平均残業10H以下（サルヴァトーレ フェラガモ など人気ブランド取り扱い）",非公開,埼玉県,正社員,salAB,公開中,6,0,0.0%,￥0,￥0,0,0,0.0%,￥0
8008-2645-0516,人気韓国コスメの販促企画アシスタント/20代活躍中/年間休日126日,非公開,東京都,正社員,DD求人20231030①,公開中,9,0,0.0%,￥0,￥0,0,0,0.0%,￥0
8008-2645-0517,上場企業の企画事務アシスタント/20代活躍中/未経験歓迎,非公開,東京都,正社員,boAB,公開中,2,0,0.0%,￥0,￥0,0,0,0.0%,￥0
8008-2645-0520,広報PRのサポート事務/20代活躍中/大手企業/土日祝休み,非公開,埼玉県,正社員,boAB,公開中,3,0,0.0%,￥0,￥0,0,0,0.0%,￥0
8008-2645-0522,広報PRのサポート事務/20代活躍中/大手企業/土日祝休み,非公開,埼玉県,正社員,boAB,公開中,8,0,0.0%,￥0,￥0,0,0,0.0%,￥0
8008-2645-0523,広報PRのサポート事務/20代活躍中/大手企業/土日祝休み,非公開,埼玉県,正社員,boAB,公開中,2,0,0.0%,￥0,￥0,0,0,0.0%,￥0
8008-2645-0524,広報PRのサポート事務/20代活躍中/大手企業/土日祝休み,非公開,埼玉県,正社員,boAB,公開中,6,0,0.0%,￥0,￥0,0,0,0.0%,￥0
8008-2645-0525,広報PRのサポート事務/20代活躍中/大手企業/土日祝休み,非公開,千葉県,正社員,boAB,公開中,4,0,0.0%,￥0,￥0,0,0,0.0%,￥0
8008-2645-0529,広報PRのサポート事務/20代活躍中/大手企業/土日祝休み,非公開,神奈川県,正社員,boAB,公開中,5,0,0.0%,￥0,￥0,0,0,0.0%,￥0
8008-2645-0530,広報PRのサポート事務/20代活躍中/大手企業/土日祝休み,非公開,神奈川県,正社員,boAB,公開中,10,2,20.0%,￥25,￥50,0,0,0.0%,￥0
8008-2645-0532,広報PRのサポート事務/20代活躍中/大手企業/土日祝休み,非公開,東京都,正社員,boAB,公開中,0,0,0.0%,￥0,￥0,0,0,0.0%,￥0
8008-2645-0533,広報PRのサポート事務/20代活躍中/大手企業/土日祝休み,非公開,東京都,正社員,boAB,公開中,3,0,0.0%,￥0,￥0,0,0,0.0%,￥0
8008-2645-0535,広報PRのサポート事務/20代活躍中/大手企業/土日祝休み,非公開,東京都,正社員,boAB,公開中,2,0,0.0%,￥0,￥0,0,0,0.0%,￥0
8008-2645-0536,広報PRのサポート事務/20代活躍中/大手企業/土日祝休み,非公開,東京都,正社員,boAB,公開中,8,2,25.0%,￥25,￥50,0,0,0.0%,￥0
