求人番号,求人タイトル,勤務先名,勤務地,雇用形態,キャンペーン名,ステータス,表示回数,クリック数,クリック率,平均クリック単価,費用,応募数,アクション数,応募率,応募単価
6810-1556-1481,子供向けアクセサリーのカスタマーサポート/20代活躍中/完全週休二日制/LG,非公開,愛知県,正社員,LG求人20231114,公開中,4,0,0.0%,￥0,￥0,0,0,0.0%,￥0
6810-1556-1482,20代活躍中/スキンケア用品モニター内勤事務職（CHANELなど20代人気ブランド取り扱い）未経験OK/LG,非公開,埼玉県,正社員,LG求人20231114,公開中,5,0,0.0%,￥0,￥0,0,0,0.0%,￥0
6810-1556-1484,20代活躍中/スキンケア用品モニター内勤事務職（CHANELなど20代人気ブランド取り扱い）未経験OK/LG,非公開,埼玉県,正社員,LG求人20231114,公開中,6,0,0.0%,￥0,￥0,0,0,0.0%,￥0
6810-1556-1485,20代活躍中/スキンケア用品モニター内勤事務職（CHANELなど20代人気ブランド取り扱い）未経験OK/LG,非公開,埼玉県,正社員,LG求人20231114,公開中,9,0,0.0%,￥0,￥0,0,0,0.0%,￥0
6810-1556-1486,20代活躍中/スキンケア用品モニター内勤事務職（CHANELなど20代人気ブランド取り扱い）未経験OK/LG,非公開,埼玉県,正社員,LG求人20231114,公開中,22,1,4.6%,￥25,￥25,0,0,0.0%,￥0
6810-1556-1487,20代活躍中/スキンケア用品モニター内勤事務職（CHANELなど20代人気ブランド取り扱い）未経験OK/LG,非公開,千葉県,正社員,LG求人20231114,公開中,5,0,0.0%,￥0,￥0,0,0,0.0%,￥0
6810-1556-1489,20代活躍中/スキンケア用品モニター内勤事務職（CHANELなど20代人気ブランド取り扱い）未経験OK/LG,非公開,神奈川県,正社員,LG求人20231114,公開中,3,0,0.0%,￥0,￥0,0,0,0.0%,￥0
6810-1556-1491,20代活躍中/スキンケア用品モニター内勤事務職（CHANELなど20代人気ブランド取り扱い）未経験OK/LG,非公開,神奈川県,正社員,LG求人20231114,公開中,9,2,22.2%,￥25,￥50,0,0,0.0%,￥0
6810-1556-1493,20代活躍中/スキンケア用品モニター内勤事務職（CHANELなど20代人気ブランド取り扱い）未経験OK/LG,非公開,神奈川県,正社員,LG求人20231114,公開中,7,1,14.3%,￥25,￥25,0,0,0.0%,￥0
6810-1556-1494,20代活躍中/スキンケア用品モニター内勤事務職（CHANELなど20代人気ブランド取り扱い）未経験OK/LG,非公開,東京都,正社員,LG求人20231114,公開中,6,1,16.7%,￥25,￥25,0,0,0.0%,￥0
6810-1556-1499,20代活躍中/スキンケア用品モニター内勤事務職（CHANELなど20代人気ブランド取り扱い）未経験OK/LG,非公開,東京都,正社員,LG求人20231114,公開中,2,0,0.0%,￥0,￥0,0,0,0.0%,￥0
6810-1556-1500,20代活躍中/スキンケア用品モニター内勤事務職（CHANELなど20代人気ブランド取り扱い）未経験OK/LG,非公開,東京都,正社員,LG求人20231114,公開中,9,0,0.0%,￥0,￥0,0,0,0.0%,￥0
6810-1556-1502,20代活躍中/スキンケア用品モニター内勤事務職（CHANELなど20代人気ブランド取り扱い）未経験OK/LG,非公開,福岡県,正社員,LG求人20231114,公開中,17,0,0.0%,￥0,￥0,0,0,0.0%,￥0
6810-1556-1504,20代活躍中/スキンケア用品モニター内勤事務職（CHANELなど20代人気ブランド取り扱い）未経験OK/LG,非公開,大阪府,正社員,LG求人20231114,公開中,32,2,6.3%,￥25,￥50,0,0,0.0%,￥0
6810-1556-1506,20代活躍中/スキンケア用品モニター内勤事務職（CHANELなど20代人気ブランド取り扱い）未経験OK/LG,非公開,大阪府,正社員,LG求人20231114,公開中,4,0,0.0%,￥0,￥0,0,0,0.0%,￥0
6810-1556-1511,20代活躍中/スキンケア用品モニター内勤事務職（CHANELなど20代人気ブランド取り扱い）未経験OK/LG,非公開,愛知県,正社員,LG求人20231114,公開中,12,0,0.0%,￥0,￥0,0,0,0.0%,￥0
6810-1556-1512,20代活躍中/スキンケア用品モニター内勤事務職（CHANELなど20代人気ブランド取り扱い）未経験OK/LG,非公開,愛知県,正社員,LG求人20231114,公開中,11,1,9.1%,￥25,￥25,0,0,0.0%,￥0
6810-1556-1513,文房部メーカーのECサイト運営事務/20代活躍中/年間休日130日/LG,非公開,埼玉県,正社員,LG求人20231114,公開中,10,3,30.0%,￥25,￥75,0,0,0.0%,￥0
6810-1556-1514,文房部メーカーのECサイト運営事務/20代活躍中/年間休日130日/LG,非公開,埼玉県,正社員,LG求人20231114,公開中,5,1,20.0%,￥25,￥25,0,0,0.0%,￥0
6810-1556-1515,文房部メーカーのECサイト運営事務/20代活躍中/年間休日130日/LG,非公開,埼玉県,正社員,LG求人20231114,公開中,15,4,26.7%,￥25,￥100,0,0,0.0%,￥0
6810-1556-1516,文房部メーカーのECサイト運営事務/20代活躍中/年間休日130日/LG,非公開,埼玉県,正社員,LG求人20231114,公開中,5,1,20.0%,￥25,￥25,0,0,0.0%,￥0
6810-1556-1517,文房部メーカーのECサイト運営事務/20代活躍中/年間休日130日/LG,非公開,埼玉県,正社員,LG求人20231114,公開中,14,0,0.0%,￥0,￥0,0,0,0.0%,￥0
6810-1556-1519,文房部メーカーのECサイト運営事務/20代活躍中/年間休日130日/LG,非公開,千葉県,正社員,LG求人20231114,公開中,16,3,18.8%,￥25,￥75,0,0,0.0%,￥0
6810-1556-1520,文房部メーカーのECサイト運営事務/20代活躍中/年間休日130日/LG,非公開,神奈川県,正社員,LG求人20231114,公開中,3,0,0.0%,￥0,￥0,0,0,0.0%,￥0
6810-1556-1521,文房部メーカーのECサイト運営事務/20代活躍中/年間休日130日/LG,非公開,神奈川県,正社員,LG求人20231114,公開中,10,3,30.0%,￥25,￥75,0,0,0.0%,￥0
6810-1556-1522,文房部メーカーのECサイト運営事務/20代活躍中/年間休日130日/LG,非公開,神奈川県,正社員,LG求人20231114,公開中,8,2,25.0%,￥25,￥50,0,0,0.0%,￥0
6810-1556-1523,文房部メーカーのECサイト運営事務/20代活躍中/年間休日130日/LG,非公開,神奈川県,正社員,LG求人20231114,公開中,4,0,0.0%,￥0,￥0,0,0,0.0%,￥0
6810-1556-1526,文房部メーカーのECサイト運営事務/20代活躍中/年間休日130日/LG,非公開,東京都,正社員,LG求人20231114,公開中,7,1,14.3%,￥25,￥25,0,0,0.0%,￥0
6810-1556-1529,文房部メーカーのECサイト運営事務/20代活躍中/年間休日130日/LG,非公開,東京都,正社員,LG求人20231114,公開中,9,0,0.0%,￥0,￥0,0,0,0.0%,￥0
6810-1556-1532,文房部メーカーのECサイト運営事務/20代活躍中/年間休日130日/LG,非公開,福岡県,正社員,LG求人20231114,公開中,26,3,11.5%,￥25,￥75,0,0,0.0%,￥0
6810-1556-1533,文房部メーカーのECサイト運営事務/20代活躍中/年間休日130日/LG,非公開,福岡県,正社員,LG求人20231114,公開中,24,9,37.5%,￥25,￥225,0,0,0.0%,￥0
6810-1556-1534,文房部メーカーのECサイト運営事務/20代活躍中/年間休日130日/LG,非公開,大阪府,正社員,LG求人20231114,公開中,9,1,11.1%,￥25,￥25,0,0,0.0%,￥0
6810-1556-1535,文房部メーカーのECサイト運営事務/20代活躍中/年間休日130日/LG,非公開,大阪府,正社員,LG求人20231114,公開中,12,0,0.0%,￥0,￥0,0,0,0.0%,￥0
6810-1556-1536,文房部メーカーのECサイト運営事務/20代活躍中/年間休日130日/LG,非公開,大阪府,正社員,LG求人20231114,公開中,8,1,12.5%,￥25,￥25,0,0,0.0%,￥0
6810-1556-1538,文房部メーカーのECサイト運営事務/20代活躍中/年間休日130日/LG,非公開,大阪府,正社員,LG求人20231114,公開中,11,1,9.1%,￥25,￥25,0,0,0.0%,￥0
6810-1556-1543,文房部メーカーのECサイト運営事務/20代活躍中/年間休日130日/LG,非公開,愛知県,正社員,LG求人20231114,公開中,1,0,0.0%,￥0,￥0,0,0,0.0%,￥0
6810-1556-1546,エンタメ企業の一般事務職/20代活躍中/年間休日130日/LG,非公開,埼玉県,正社員,LG求人20231114,公開中,13,0,0.0%,￥0,￥0,0,0,0.0%,￥0
6810-1556-1548,エンタメ企業の一般事務職/20代活躍中/年間休日130日/LG,非公開,埼玉県,正社員,LG求人20231114,公開中,16,1,6.3%,￥25,￥25,0,0,0.0%,￥0
6810-1556-1551,エンタメ企業の一般事務職/20代活躍中/年間休日130日/LG,非公開,神奈川県,正社員,LG求人20231114,公開中,5,0,0.0%,￥0,￥0,0,0,0.0%,￥0
6810-1556-1552,エンタメ企業の一般事務職/20代活躍中/年間休日130日/LG,非公開,神奈川県,正社員,LG求人20231114,公開中,17,1,5.9%,￥25,￥25,0,0,0.0%,￥0
6810-1556-1555,エンタメ企業の一般事務職/20代活躍中/年間休日130日/LG,非公開,神奈川県,正社員,LG求人20231114,公開中,9,1,11.1%,￥25,￥25,0,0,0.0%,￥0
6810-1556-1556,エンタメ企業の一般事務職/20代活躍中/年間休日130日/LG,非公開,東京都,正社員,LG求人20231114,公開中,8,3,37.5%,￥25,￥75,0,0,0.0%,￥0
6810-1556-1557,エンタメ企業の一般事務職/20代活躍中/年間休日130日/LG,非公開,東京都,正社員,LG求人20231114,公開中,4,2,50.0%,￥25,￥50,0,0,0.0%,￥0
6810-1556-1561,エンタメ企業の一般事務職/20代活躍中/年間休日130日/LG,非公開,東京都,正社員,LG求人20231114,公開中,5,0,0.0%,￥0,￥0,0,0,0.0%,￥0
6810-1556-1563,エンタメ企業の一般事務職/20代活躍中/年間休日130日/LG,非公開,福岡県,正社員,LG求人20231114,公開中,25,1,4.0%,￥25,￥25,0,0,0.0%,￥0
6810-1556-1564,エンタメ企業の一般事務職/20代活躍中/年間休日130日/LG,非公開,福岡県,正社員,LG求人20231114,公開中,26,2,7.7%,￥25,￥50,0,0,0.0%,￥0
