求人番号,求人タイトル,勤務先名,勤務地,雇用形態,キャンペーン名,ステータス,表示回数,クリック数,クリック率,平均クリック単価,費用,応募数,アクション数,応募率,応募単価
3795-2130-0130,かんたん事務！/未経験からオフィスワークを応援！/年間休日145日/残業無/ボーナス年二回/KT,非公開,神奈川県,正社員,boAB,公開中,3,0,0.0%,￥0,￥0,0,0,0.0%,￥0
3795-2130-0132,かんたん事務！/未経験からオフィスワークを応援！/年間休日145日/残業無/ボーナス年二回/KT,非公開,東京都,正社員,boAB,公開中,1,0,0.0%,￥0,￥0,0,0,0.0%,￥0
3795-2130-0133,かんたん事務！/未経験からオフィスワークを応援！/年間休日145日/残業無/ボーナス年二回/KT,非公開,福岡県,正社員,boAB,公開中,1,1,100.0%,￥25,￥25,0,0,0.0%,￥0
3795-2130-0139,かんたん事務！/未経験からオフィスワークを応援！/年間休日145日/残業無/ボーナス年二回/KT,非公開,大阪府,正社員,boAB,公開中,3,1,33.3%,￥25,￥25,0,0,0.0%,￥0
3795-2130-0142,かんたん事務！/未経験からオフィスワークを応援！/年間休日145日/残業無/ボーナス年二回/KT,非公開,愛知県,正社員,boAB,公開中,2,0,0.0%,￥0,￥0,0,0,0.0%,￥0
3795-2130-0143,かんたん事務！/未経験からオフィスワークを応援！/年間休日145日/残業無/ボーナス年二回/KT,非公開,愛知県,正社員,boAB,公開中,0,0,0.0%,￥0,￥0,0,0,0.0%,￥0
3795-2130-0146,年収2000万円～可能／5年分の年収を1年で稼ぐ反響営業／キャリアアップを応援！/KT,非公開,埼玉県,正社員,salAB,公開中,0,0,0.0%,￥0,￥0,0,0,0.0%,￥0
3795-2130-0147,年収2000万円～可能／5年分の年収を1年で稼ぐ反響営業／キャリアアップを応援！/KT,非公開,埼玉県,正社員,salAB,公開中,0,0,0.0%,￥0,￥0,0,0,0.0%,￥0
3795-2130-0148,年収2000万円～可能／5年分の年収を1年で稼ぐ反響営業／キャリアアップを応援！/KT,非公開,埼玉県,正社員,salAB,公開中,1,0,0.0%,￥0,￥0,0,0,0.0%,￥0
3795-2130-0149,年収2000万円～可能／5年分の年収を1年で稼ぐ反響営業／キャリアアップを応援！/KT,非公開,埼玉県,正社員,salAB,公開中,3,0,0.0%,￥0,￥0,0,0,0.0%,￥0
3795-2130-0150,年収2000万円～可能／5年分の年収を1年で稼ぐ反響営業／キャリアアップを応援！/KT,非公開,千葉県,正社員,salAB,公開中,2,0,0.0%,￥0,￥0,0,0,0.0%,￥0
3795-2130-0152,年収2000万円～可能／5年分の年収を1年で稼ぐ反響営業／キャリアアップを応援！/KT,非公開,神奈川県,正社員,salAB,公開中,0,0,0.0%,￥0,￥0,0,0,0.0%,￥0
3795-2130-0154,年収2000万円～可能／5年分の年収を1年で稼ぐ反響営業／キャリアアップを応援！/KT,非公開,神奈川県,正社員,salAB,公開中,0,0,0.0%,￥0,￥0,0,0,0.0%,￥0
3795-2130-0159,年収2000万円～可能／5年分の年収を1年で稼ぐ反響営業／キャリアアップを応援！/KT,非公開,福岡県,正社員,salAB,公開中,0,0,0.0%,￥0,￥0,0,0,0.0%,￥0
3795-2130-0162,年収2000万円～可能／5年分の年収を1年で稼ぐ反響営業／キャリアアップを応援！/KT,非公開,大阪府,正社員,salAB,公開中,3,0,0.0%,￥0,￥0,0,0,0.0%,￥0
3795-2130-0167,年収2000万円～可能／5年分の年収を1年で稼ぐ反響営業／キャリアアップを応援！/KT,非公開,愛知県,正社員,salAB,公開中,0,0,0.0%,￥0,￥0,0,0,0.0%,￥0
3795-2130-0171,【未経験OK!!・20代活躍中】営業事務（アシスタント）としてキャリアアップ可能！！/YT,非公開,埼玉県,正社員,salAB,公開中,0,0,0.0%,￥0,￥0,0,0,0.0%,￥0
3795-2130-0172,【未経験OK!!・20代活躍中】営業事務（アシスタント）としてキャリアアップ可能！！/YT,非公開,埼玉県,正社員,salAB,公開中,1,0,0.0%,￥0,￥0,0,0,0.0%,￥0
3795-2130-0182,【未経験OK!!・20代活躍中】営業事務（アシスタント）としてキャリアアップ可能！！/YT,非公開,神奈川県,正社員,salAB,公開中,0,0,0.0%,￥0,￥0,0,0,0.0%,￥0
3795-2130-0185,【未経験OK!!・20代活躍中】営業事務（アシスタント）としてキャリアアップ可能！！/YT,非公開,福岡県,正社員,salAB,公開中,1,0,0.0%,￥0,￥0,0,0,0.0%,￥0
3795-2130-0186,【未経験OK!!・20代活躍中】営業事務（アシスタント）としてキャリアアップ可能！！/YT,非公開,福岡県,正社員,salAB,公開中,0,0,0.0%,￥0,￥0,0,0,0.0%,￥0
3795-2130-0191,【未経験OK!!・20代活躍中】営業事務（アシスタント）としてキャリアアップ可能！！/YT,非公開,大阪府,正社員,salAB,公開中,3,0,0.0%,￥0,￥0,0,0,0.0%,￥0
3795-2130-0194,【未経験OK!!・20代活躍中】営業事務（アシスタント）としてキャリアアップ可能！！/YT,非公開,愛知県,正社員,salAB,公開中,1,0,0.0%,￥0,￥0,0,0,0.0%,￥0
3795-2130-0199,建設事務・施工管理（未経験歓迎）／土日休み／住宅手当や資格支援など福利厚生も充実/YT,非公開,埼玉県,正社員,boAB,公開中,4,0,0.0%,￥0,￥0,0,0,0.0%,￥0
3795-2130-0201,建設事務・施工管理（未経験歓迎）／土日休み／住宅手当や資格支援など福利厚生も充実/YT,非公開,埼玉県,正社員,boAB,公開中,3,0,0.0%,￥0,￥0,0,0,0.0%,￥0
3795-2130-0206,建設事務・施工管理（未経験歓迎）／土日休み／住宅手当や資格支援など福利厚生も充実/YT,非公開,神奈川県,正社員,boAB,公開中,0,0,0.0%,￥0,￥0,0,0,0.0%,￥0
3795-2130-0211,建設事務・施工管理（未経験歓迎）／土日休み／住宅手当や資格支援など福利厚生も充実/YT,非公開,福岡県,正社員,boAB,公開中,4,0,0.0%,￥0,￥0,0,0,0.0%,￥0
3795-2130-0217,建設事務・施工管理（未経験歓迎）／土日休み／住宅手当や資格支援など福利厚生も充実/YT,非公開,大阪府,正社員,boAB,公開中,1,0,0.0%,￥0,￥0,0,0,0.0%,￥0
3795-2130-0228,【街づくりプロジェクトの業務アシスタント】未経験歓迎／土日休み／年間休日120日以上/YT,非公開,千葉県,正社員,新規作成20230901,公開中,3,0,0.0%,￥0,￥0,0,0,0.0%,￥0
3795-2130-0231,【街づくりプロジェクトの業務アシスタント】未経験歓迎／土日休み／年間休日120日以上/YT,非公開,神奈川県,正社員,新規作成20230901,公開中,0,1,0.0%,￥25,￥25,0,0,0.0%,￥0
3795-2130-0239,【街づくりプロジェクトの業務アシスタント】未経験歓迎／土日休み／年間休日120日以上/YT,非公開,大阪府,正社員,新規作成20230901,公開中,1,0,0.0%,￥0,￥0,0,0,0.0%,￥0
3795-2130-0247,【街づくりプロジェクトの業務アシスタント】未経験歓迎／土日休み／年間休日120日以上/YT,非公開,愛知県,正社員,新規作成20230901,公開中,0,0,0.0%,￥0,￥0,0,0,0.0%,￥0
3795-2130-0248,【街づくりプロジェクトの業務アシスタント】未経験歓迎／土日休み／年間休日120日以上/YT,非公開,愛知県,正社員,新規作成20230901,公開中,0,0,0.0%,￥0,￥0,0,0,0.0%,￥0
3795-2130-0250,【１年の半分以上がお休み！２０代～６０代まで幅広く活躍中！稼ぎたい方、必見！ノルマ無し！完全未経験でも大歓迎！】タクシードライバー/YT,非公開,埼玉県,正社員,新規作成20230901,公開中,10,0,0.0%,￥0,￥0,0,0,0.0%,￥0
3795-2130-0251,【１年の半分以上がお休み！２０代～６０代まで幅広く活躍中！稼ぎたい方、必見！ノルマ無し！完全未経験でも大歓迎！】タクシードライバー/YT,非公開,埼玉県,正社員,新規作成20230901,公開中,0,0,0.0%,￥0,￥0,0,0,0.0%,￥0
3795-2130-0253,【１年の半分以上がお休み！２０代～６０代まで幅広く活躍中！稼ぎたい方、必見！ノルマ無し！完全未経験でも大歓迎！】タクシードライバー/YT,非公開,埼玉県,正社員,新規作成20230901,公開中,15,0,0.0%,￥0,￥0,0,0,0.0%,￥0
3795-2130-0254,【１年の半分以上がお休み！２０代～６０代まで幅広く活躍中！稼ぎたい方、必見！ノルマ無し！完全未経験でも大歓迎！】タクシードライバー/YT,非公開,千葉県,正社員,新規作成20230901,公開中,10,1,10.0%,￥25,￥25,0,0,0.0%,￥0
3795-2130-0256,【１年の半分以上がお休み！２０代～６０代まで幅広く活躍中！稼ぎたい方、必見！ノルマ無し！完全未経験でも大歓迎！】タクシードライバー/YT,非公開,神奈川県,正社員,新規作成20230901,公開中,0,0,0.0%,￥0,￥0,0,0,0.0%,￥0
3795-2130-0257,【１年の半分以上がお休み！２０代～６０代まで幅広く活躍中！稼ぎたい方、必見！ノルマ無し！完全未経験でも大歓迎！】タクシードライバー/YT,非公開,神奈川県,正社員,新規作成20230901,公開中,13,0,0.0%,￥0,￥0,0,0,0.0%,￥0
3795-2130-0258,【１年の半分以上がお休み！２０代～６０代まで幅広く活躍中！稼ぎたい方、必見！ノルマ無し！完全未経験でも大歓迎！】タクシードライバー/YT,非公開,神奈川県,正社員,新規作成20230901,公開中,5,0,0.0%,￥0,￥0,0,0,0.0%,￥0
3795-2130-0259,【１年の半分以上がお休み！２０代～６０代まで幅広く活躍中！稼ぎたい方、必見！ノルマ無し！完全未経験でも大歓迎！】タクシードライバー/YT,非公開,神奈川県,正社員,新規作成20230901,公開中,8,0,0.0%,￥0,￥0,0,0,0.0%,￥0
