求人番号,求人タイトル,勤務先名,勤務地,雇用形態,キャンペーン名,ステータス,表示回数,クリック数,クリック率,平均クリック単価,費用,応募数,アクション数,応募率,応募単価
1733-0292-08wx,20代活躍/接客/店舗買取スタッフ/95％が営業未経験/コロナ禍で最高売上のグローバル企業/残業13h/年休128日/副業OK/CI17071serB,非公開,京都府,正社員,,公開中,0,0,0.0%,￥0,￥0,0,0,0.0%,￥0
1733-0292-08wy,20代活躍/接客/店舗買取スタッフ/95％が営業未経験/コロナ禍で最高売上のグローバル企業/残業13h/年休128日/副業OK/CI17071serB,非公開,京都府,正社員,,公開中,0,0,0.0%,￥0,￥0,0,0,0.0%,￥0
1733-0292-08x1,20代活躍/接客/店舗買取スタッフ/95％が営業未経験/コロナ禍で最高売上のグローバル企業/残業13h/年休128日/副業OK/CI17071serB,非公開,兵庫県,正社員,,公開中,0,0,0.0%,￥0,￥0,0,0,0.0%,￥0
1733-0292-08x2,20代活躍/接客/店舗買取スタッフ/95％が営業未経験/コロナ禍で最高売上のグローバル企業/残業13h/年休128日/副業OK/CI17071serB,非公開,兵庫県,正社員,,公開中,0,0,0.0%,￥0,￥0,0,0,0.0%,￥0
1733-0292-08x3,20代活躍/接客/店舗買取スタッフ/95％が営業未経験/コロナ禍で最高売上のグローバル企業/残業13h/年休128日/副業OK/CI17071serB,非公開,兵庫県,正社員,,公開中,0,0,0.0%,￥0,￥0,0,0,0.0%,￥0
1733-0292-08xd,20代活躍/接客/店舗買取スタッフ/95％が営業未経験/コロナ禍で最高売上のグローバル企業/残業13h/年休128日/副業OK/CI17071serB,非公開,福岡県,正社員,,公開中,0,0,0.0%,￥0,￥0,0,0,0.0%,￥0
1733-0292-08xf,20代活躍/接客/店舗買取スタッフ/95％が営業未経験/コロナ禍で最高売上のグローバル企業/残業13h/年休128日/副業OK/CI17071serB,非公開,福岡県,正社員,,公開中,0,0,0.0%,￥0,￥0,0,0,0.0%,￥0
1733-0292-08xi,20代活躍/接客/店舗買取スタッフ/95％が営業未経験/コロナ禍で最高売上のグローバル企業/残業13h/年休128日/副業OK/CI17071serC,非公開,熊本県,正社員,,公開中,0,0,0.0%,￥0,￥0,0,0,0.0%,￥0
1733-0292-08xl,20代活躍/未経験可/ECサポート事務/年間休日128日/髪色自由・服装自由/平均残業時間10時間以下/CI146987bofB,非公開,北海道,正社員,,公開中,0,0,0.0%,￥0,￥0,0,0,0.0%,￥0
1733-0292-08xo,20代活躍/未経験可/ECサポート事務/年間休日128日/髪色自由・服装自由/平均残業時間10時間以下/CI146987bofC,非公開,福島県,正社員,,公開中,0,0,0.0%,￥0,￥0,0,0,0.0%,￥0
1733-0292-08xr,20代活躍/未経験可/ECサポート事務/年間休日128日/髪色自由・服装自由/平均残業時間10時間以下/CI146987bofA,非公開,東京都,正社員,,公開中,0,0,0.0%,￥0,￥0,0,0,0.0%,￥0
1733-0292-08xs,20代活躍/未経験可/ECサポート事務/年間休日128日/髪色自由・服装自由/平均残業時間10時間以下/CI146987bofA,非公開,東京都,正社員,,公開中,0,0,0.0%,￥0,￥0,0,0,0.0%,￥0
1733-0292-08xu,20代活躍/未経験可/ECサポート事務/年間休日128日/髪色自由・服装自由/平均残業時間10時間以下/CI146987bofA,非公開,東京都,正社員,,公開中,0,0,0.0%,￥0,￥0,0,0,0.0%,￥0
1733-0292-08xv,20代活躍/未経験可/ECサポート事務/年間休日128日/髪色自由・服装自由/平均残業時間10時間以下/CI146987bofA,非公開,東京都,正社員,,公開中,0,0,0.0%,￥0,￥0,0,0,0.0%,￥0
1733-0292-08xx,20代活躍/未経験可/ECサポート事務/年間休日128日/髪色自由・服装自由/平均残業時間10時間以下/CI146987bofA,非公開,東京都,正社員,,公開中,0,0,0.0%,￥0,￥0,0,0,0.0%,￥0
1733-0292-08xz,20代活躍/未経験可/ECサポート事務/年間休日128日/髪色自由・服装自由/平均残業時間10時間以下/CI146987bofA,非公開,東京都,正社員,,公開中,0,0,0.0%,￥0,￥0,0,0,0.0%,￥0
1733-0292-08y0,20代活躍/未経験可/ECサポート事務/年間休日128日/髪色自由・服装自由/平均残業時間10時間以下/CI146987bofA,非公開,東京都,正社員,,公開中,0,0,0.0%,￥0,￥0,0,0,0.0%,￥0
1733-0292-08y4,20代活躍/未経験可/ECサポート事務/年間休日128日/髪色自由・服装自由/平均残業時間10時間以下/CI146987bofA,非公開,東京都,正社員,,公開中,0,0,0.0%,￥0,￥0,0,0,0.0%,￥0
1733-0292-08y5,20代活躍/未経験可/ECサポート事務/年間休日128日/髪色自由・服装自由/平均残業時間10時間以下/CI146987bofA,非公開,東京都,正社員,,公開中,0,0,0.0%,￥0,￥0,0,0,0.0%,￥0
1733-0292-08y7,20代活躍/未経験可/ECサポート事務/年間休日128日/髪色自由・服装自由/平均残業時間10時間以下/CI146987bofA,非公開,東京都,正社員,,公開中,0,0,0.0%,￥0,￥0,0,0,0.0%,￥0
1733-0292-08y9,20代活躍/未経験可/ECサポート事務/年間休日128日/髪色自由・服装自由/平均残業時間10時間以下/CI146987bofA,非公開,東京都,正社員,,公開中,0,0,0.0%,￥0,￥0,0,0,0.0%,￥0
1733-0292-08yb,20代活躍/未経験可/ECサポート事務/年間休日128日/髪色自由・服装自由/平均残業時間10時間以下/CI146987bofA,非公開,東京都,正社員,,公開中,0,0,0.0%,￥0,￥0,0,0,0.0%,￥0
1733-0292-08ye,20代活躍/未経験可/ECサポート事務/年間休日128日/髪色自由・服装自由/平均残業時間10時間以下/CI146987bofA,非公開,東京都,正社員,,公開中,0,0,0.0%,￥0,￥0,0,0,0.0%,￥0
