求人番号,求人タイトル,勤務先名,勤務地,雇用形態,キャンペーン名,ステータス,表示回数,クリック数,クリック率,平均クリック単価,費用,応募数,アクション数,応募率,応募単価
8329-0891-09yl,20代活躍/未経験可/恋愛コンサルタント/残業平均10h/AB314770salA,非公開,千葉県,正社員,salAD,公開中,0,0,0.0%,￥0,￥0,0,0,0.0%,￥0
8329-0891-09ym,20代活躍/未経験可/恋愛コンサルタント/残業平均10h/AB314770salA,非公開,千葉県,正社員,salAD,公開中,0,0,0.0%,￥0,￥0,0,0,0.0%,￥0
8329-0891-09yn,20代活躍/未経験可/恋愛コンサルタント/残業平均10h/AB314770salA,非公開,千葉県,正社員,salAD,公開中,1,0,0.0%,￥0,￥0,0,0,0.0%,￥0
8329-0891-09yo,20代活躍/未経験可/恋愛コンサルタント/残業平均10h/AB314770salA,非公開,埼玉県,正社員,salAD,公開中,4,0,0.0%,￥0,￥0,0,0,0.0%,￥0
8329-0891-09yp,20代活躍/未経験可/恋愛コンサルタント/残業平均10h/AB314770salC,非公開,茨城県,正社員,salAD,公開中,7,0,0.0%,￥0,￥0,0,0,0.0%,￥0
8329-0891-09yr,20代活躍/未経験可/恋愛コンサルタント/残業平均10h/AB314770salC,非公開,栃木県,正社員,salAD,公開中,3,0,0.0%,￥0,￥0,0,0,0.0%,￥0
8329-0891-09yu,20代活躍/未経験可/恋愛コンサルタント/残業平均10h/AB314770salC,非公開,新潟県,正社員,salAD,公開中,1,0,0.0%,￥0,￥0,0,0,0.0%,￥0
8329-0891-09yx,20代活躍/未経験可/恋愛コンサルタント/残業平均10h/AB314770salC,非公開,富山県,正社員,salAD,公開中,6,0,0.0%,￥0,￥0,0,0,0.0%,￥0
8329-0891-09yy,20代活躍/未経験可/恋愛コンサルタント/残業平均10h/AB314770salC,非公開,石川県,正社員,salAD,公開中,1,0,0.0%,￥0,￥0,0,0,0.0%,￥0
8329-0891-09z1,20代活躍/未経験可/恋愛コンサルタント/残業平均10h/AB314770salC,非公開,静岡県,正社員,salAD,公開中,1,0,0.0%,￥0,￥0,0,0,0.0%,￥0
8329-0891-09z3,20代活躍/未経験可/恋愛コンサルタント/残業平均10h/AB314770salC,非公開,岐阜県,正社員,salAD,公開中,1,0,0.0%,￥0,￥0,0,0,0.0%,￥0
8329-0891-09z4,20代活躍/未経験可/恋愛コンサルタント/残業平均10h/AB314770salC,非公開,三重県,正社員,salAD,公開中,1,0,0.0%,￥0,￥0,0,0,0.0%,￥0
8329-0891-09z5,20代活躍/未経験可/恋愛コンサルタント/残業平均10h/AB314770salC,非公開,岡山県,正社員,salAD,公開中,0,0,0.0%,￥0,￥0,0,0,0.0%,￥0
8329-0891-09z6,20代活躍/未経験可/恋愛コンサルタント/残業平均10h/AB314770salC,非公開,鳥取県,正社員,salAD,公開中,1,0,0.0%,￥0,￥0,0,0,0.0%,￥0
8329-0891-09zb,20代活躍/未経験可/恋愛コンサルタント/残業平均10h/AB314770salB,非公開,福岡県,正社員,salAD,公開中,4,0,0.0%,￥0,￥0,0,0,0.0%,￥0
8329-0891-09zd,20代活躍/未経験可/恋愛コンサルタント/残業平均10h/AB314770salC,非公開,佐賀県,正社員,salAD,公開中,4,0,0.0%,￥0,￥0,0,0,0.0%,￥0
8329-0891-09zf,20代活躍/未経験可/恋愛コンサルタント/残業平均10h/AB314770salC,非公開,熊本県,正社員,salAD,公開中,4,1,25.0%,￥25,￥25,0,0,0.0%,￥0
8329-0891-09zg,20代活躍/未経験可/恋愛コンサルタント/残業平均10h/AB314770salC,非公開,大分県,正社員,salAD,公開中,4,1,25.0%,￥25,￥25,0,0,0.0%,￥0
8329-0891-09zi,20代活躍/未経験可/恋愛コンサルタント/残業平均10h/AB314770salC,非公開,鹿児島県,正社員,salAD,公開中,4,0,0.0%,￥0,￥0,0,0,0.0%,￥0
8329-0891-09zj,20代活躍/未経験可/恋愛コンサルタント/残業平均10h/AB314770salC,非公開,沖縄県,正社員,salAD,公開中,2,0,0.0%,￥0,￥0,0,0,0.0%,￥0
8329-0891-09zk,20代活躍/未経験可/恋愛コンサルタント/残業平均10h/AB314770salA,非公開,大阪府,正社員,salAD,公開中,1,0,0.0%,￥0,￥0,0,0,0.0%,￥0
8329-0891-09zm,20代活躍/未経験可/恋愛コンサルタント/残業平均10h/AB314770salB,非公開,兵庫県,正社員,salAD,公開中,0,0,0.0%,￥0,￥0,0,0,0.0%,￥0
8329-0891-09zt,20代活躍/寮社宅負担/半導体製造装置の機械設計/UIターン可／東証プライム上場G／年休122日/TPdesB,非公開,愛知県,正社員,designBD,公開中,0,0,0.0%,￥0,￥0,0,0,0.0%,￥0
8329-0891-09zu,20代活躍/寮社宅負担/半導体製造装置のソフトウェア開発／東証プライム上場G／研修充実／WEB面接／年休122日/TPiteB,非公開,愛知県,正社員,ITBD,公開中,0,0,0.0%,￥0,￥0,0,0,0.0%,￥0
8329-0891-09zv,20代活躍/寮社宅負担/電費/動力性能戦略資料の作成/プライム上場テクノプロG／研修制度充実/TPdesB,非公開,愛知県,正社員,designBD,公開中,0,0,0.0%,￥0,￥0,0,0,0.0%,￥0
8329-0891-09zy,20代活躍/寮社宅負担/請負・受託開発のPL／PL候補/メーカー向け／スキルアップ／残業20h/TPiteB,非公開,愛知県,正社員,ITBD,公開中,0,0,0.0%,￥0,￥0,0,0,0.0%,￥0
